Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
user user user user user user lawan bicara intelek otak punya kencing mengakui hadis nabi sahih pasti menolak makanya ahlunnar,1,1,1,0,1,0,0,0,0,1,0,0
belakangan fikiran banget,0,0,0,0,0,0,0,0,0,0,0,0
sarua beki repeh,0,1,0,0,0,0,0,0,0,0,0,0
jadi cowo harus gantle kalo gantle namanya,1,1,0,1,0,0,0,1,0,0,1,0
user slga xfxfxx,0,0,0,0,0,0,0,0,0,0,0,0
tapi jarang ngambek tacut wkkwkwkwkw bucin,0,1,0,0,0,0,0,0,0,0,0,0
user kalo kamu pasti peluang disakitin lebih gede,0,0,0,0,0,0,0,0,0,0,0,0
user joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan menghadapi situasi ekonomi,0,0,0,0,0,0,0,0,0,0,0,0
pelajar bilah hilir deklarasi anti hoax pilkada damai,0,0,0,0,0,0,0,0,0,0,0,0
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0
siapapun gubernur presidennya rakyatnya kita juga,0,0,0,0,0,0,0,0,0,0,0,0
user kerjaannya delay mulu,1,1,0,1,0,0,0,0,1,0,1,0
menurutku pintu sorga yaitu pintu sorga yang asli pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0
user user user hanya muncul jika jelang pemilihan kepala daerah pemilihan presiden digoreng sampai gosong,1,0,0,1,0,1,0,0,0,0,1,0
user user neneknenek heran sama biasay bohong terus,1,1,1,0,0,0,0,0,1,1,0,0
user user user user user user user user user islam nusantara produk dipasarkan gencar oleh antekxcxb jilnnsementara anti arab tapi asengnnkata hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
dari habis sahur sampe sibayik udah rasanya lemas terkira xfxfxaxa,0,0,0,0,0,0,0,0,0,0,0,0
user emak demen yang wkwk,0,0,0,0,0,0,0,0,0,0,0,0
user kelakuan homok jaman sambil live blued gayvid gvid lokalhangat,0,1,0,0,0,0,0,0,0,0,0,0
user bukan orang jawa maaf orang palembang soalnya kakak belajar aksara jawa atau kalak belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
pegawai guardian training lagi mentang cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur matahari,1,1,0,1,0,0,0,0,1,0,1,0
xexxdpara yang telah melukai lady harus menerima ganjaran seratus kali hbdthpelautjkt,0,1,0,0,0,0,0,0,0,0,0,0
ajakan menolak berita hoax sukseskan pilkada wilayah kota keidri,0,0,0,0,0,0,0,0,0,0,0,0
user user presiden jokowi luarbiasa kerja tulus ihlas untuk,0,0,0,0,0,0,0,0,0,0,0,0
emang goollnya fabiano,0,1,0,0,0,0,0,0,0,0,0,0
gapernah mendalami alquran bang pantesan mulutnya kaya orang farhatabbaslaw,1,1,1,0,1,0,1,0,0,1,0,0
sangat terlihat beda sekali kewibawaannya sangat berwibawa cuma gubernur indonesia user massya allah,0,0,0,0,0,0,0,0,0,0,0,0
baru kali lihat orang debat pilkada kerjanya nyerang karakter shame mpok silvy agus,1,1,0,1,0,0,0,0,1,0,1,0
gusipulputi ganjaryasin djarotsihar hasananton kosterace nurdinsudirman karolingidot user keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot hadapan peserta rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0
user user islam boleh dilokalisasi kristen nusantaranya liat gereja bandung pake gamelan khotbah pake sundajawa hkbp juga kurang nusantara,0,0,0,0,0,0,0,0,0,0,0,0
ciptakan situasi kamtibmas menjelang pilkada kapolsek konang silaturahmi tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
user user positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornnurl,0,0,0,0,0,0,0,0,0,0,0,0
user user user user kata sembahyang mengadopsi tradisi lokal pada masa kerjaan lahir dari tradisi yang tunggal sama menyembah,0,0,0,0,0,0,0,0,0,0,0,0
pendikan tinggi tapi bodohgk larang bawa agamabiar orang islam bayar ahok sadar jadi milih ahok,1,1,1,0,0,0,0,0,1,1,0,0
user user best abaikan kaum otak micin,1,1,0,1,0,0,0,0,1,0,1,0
user user otak tempurung usah ladenin smkn lawan semakin bloon kalo gitu makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
user awaasss sampe beritanya sampe akhi gerung ntar susah nyari kosakatany micingin mata bibir monyong kesamping suara keluar kentut politik kotor tahu plng sambil ngedendungu xfxfxxb,1,1,1,0,0,0,1,0,0,1,0,0
pinokio umur taonan gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0
user cerita silat xfxfxx semacam ping yang dari indonesia tapi liang shen penulis dari china,0,0,0,0,0,0,0,0,0,0,0,0
user benci sekali umat islam,1,0,0,1,1,0,0,0,0,0,1,0
user user user provokasi mayat politisasi agama penyebab kekalahan pilkada beginilah cara kekalahan junjungannya ahog pernah ikut pemilihan apapun wakil bukanlah etnis mayorita,1,1,1,0,0,1,0,0,0,1,0,0
user dari pada,0,1,0,0,0,0,0,0,0,0,0,0
user lowo,1,1,0,1,0,0,0,0,1,0,1,0
takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan mahluq alim telah beribadah beratus dilaknat hasud takabburnya apalagi hanya seorang ahli ilmu filsafat failosof mari kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0
orang yang suka konserkonser sedikit boros,0,0,0,0,0,0,0,0,0,0,0,0
sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah juga,0,0,0,0,0,0,0,0,0,0,0,0
susilo bambang yudhoyono presiden meminta khofifah emil untuk dekat dengan masyarakat bisa baguss,0,0,0,0,0,0,0,0,0,0,0,0
user udah biasa kali kpoper tapi kalo ngomonv sama temen idol,1,1,1,0,0,0,0,1,0,1,0,0
saya suka video user awal kisah perseteruan haji bolot malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
budaya bersungguh klau islam tidak diendahkan,0,0,0,0,0,0,0,0,0,0,0,0
user user user user xfxfxexb lahm xfxfxexa semua diam semua bisunkita coba tanya sama rumput bergoyang,0,0,0,0,0,0,0,0,0,0,0,0
apabila membisikkan waswas kepadamu mintalah perlindungan kepada allah alaxexxraf fushilat,0,0,0,0,0,0,0,0,0,0,0,0
user user user user user user user ente atheisngapain sibuk agama orang,0,0,0,0,0,0,0,0,0,0,0,0
lengserkan jokowi,1,1,1,0,0,0,0,0,1,0,0,1
user selamat hari kartini gantipresiden presidenbaru,0,0,0,0,0,0,0,0,0,0,0,0
user homonhati terhadap anak kita terutama kamar mandi laki biarkan sendiri,1,1,1,0,0,0,0,1,0,1,0,0
user,1,1,1,0,0,0,0,0,1,1,0,0
user karena budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
user yang ngajarin solata ajah orang aseng hanya ingin memecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
user ngomong kaga bener bangke,1,1,1,0,0,0,0,0,1,1,0,0
user user kita semua tidak pernah akan mempercayai negara kita disuatu hari nanti akan dijajah oleh kerana terdapat kespembubaran sistem beraja dinegara kita kini untuk menjadikan sebagai negara republik padahal negara penjaja,0,0,0,0,0,0,0,0,0,0,0,0
tapi masih menikmati kebijakan yang dulu diusulkan,1,0,0,1,0,1,0,0,0,0,1,0
kalo seumpama orang cina usir paksa dari indonesia gimana,1,0,0,1,0,1,0,0,0,0,1,0
user bunda,0,1,0,0,0,0,0,0,0,0,0,0
user china china,1,1,0,1,0,1,0,0,0,0,0,1
bung karno anti beliau dari jawa coba adain konsensus lebih banyak mana jawa yang anti atau karena keboohannya nnkalau kami keliru kami tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
proyek korupsi,1,0,1,0,0,0,0,0,1,1,0,0
user wajar saja lihat saja tingkah bbrp petinggi negeri suka mencampur indonesia setiap kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
pribadi senang berkompetisi dalam yang baik positif,0,0,0,0,0,0,0,0,0,0,0,0
user user terus menurut kitab suci agama bilang user mendadakkalap,1,0,1,0,0,0,0,0,1,1,0,0
user suka nutup mata kaga ditutup udah terlihat tertutup gara,0,0,0,0,0,0,0,0,0,0,0,0
user muslim merasa user menistakan kitab suci alquran alquran sndri bbrp suku kata smpai dtik diketahui mkna faktualnya umat islam kami yakini kata makna tersirat fiksi,0,0,0,0,0,0,0,0,0,0,0,0
user kasar,1,1,1,0,0,0,0,0,1,1,0,0
bentar lagi rilis album ontas wkwkwkwkwk,0,0,0,0,0,0,0,0,0,0,0,0
user bang merasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0
banget ngetwit barusan,0,1,0,0,0,0,0,0,0,0,0,0
kamu atau,1,1,1,0,0,0,0,1,0,1,0,0
user awas bintitan ngintipin kucing,0,1,0,0,0,0,0,0,0,0,0,0
user user bawel baper bolot baik bodor gaje wkwk udah,0,1,0,0,0,0,0,0,0,0,0,0
user user user user saranin perlu bnyk maling ayat langsung point jadi orang sepaham teriakin sesat liberal pemuja dukun blaaa pasti hatimu puas dehh,1,1,1,0,1,0,0,0,0,1,0,0
salah target ahok agenda utama lengserkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
user user masa baru kena hestek udah kepanasan kepo banget gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0
maju sini duit tapi goyang kaki buat pape mana duit maju bodo,0,1,0,0,0,0,0,0,0,0,0,0
user hkbp berdiri sejak pecahnya kristen khatolik pada zaman penjajahan belandadl namanya kristen protestan kristen perpecahan berdirilah hkbp prtama kali tarutungnnnah skrg anda,0,0,0,0,0,0,0,0,0,0,0,0
banyak baca biar pintar jepang amerika china utang sama siapa anda enggak,0,0,0,0,0,0,0,0,0,0,0,0
prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,1,0,1,0,0,0,0,0,1,1,0,0
user user yang takut dengan adzan adalah,0,0,0,0,0,0,0,0,0,0,0,0
user user goblog adalah tukang tipu penjilat penguasa ketahuan gerakin masa dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0
user user user user wuih,1,1,1,0,0,0,0,0,1,1,0,0
gerakan menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
padahal gubernur saat djarot mayoritas partai politik dprd juga pendukung ahok djarot payah mereka user,1,0,1,0,0,0,0,0,1,1,0,0
user rusak bukan memperbaiki systeamnya malah sibuk cari kesalahan pasti ketemu alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya,0,0,0,0,0,0,0,0,0,0,0,0
saat orang orang saling menuding aseng aseng sesungguhnya bertepuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
user katanya anti aseng,0,0,0,0,0,0,0,0,0,0,0,0
selamat user semoga bisa terus berkiprah bahkan tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
asyikmnang saya ikut ulama saja,0,0,0,0,0,0,0,0,0,0,0,0
user yang saya ketahui bahwa diketapang banyak berkerja berbagai perusahaan termasuk tambang bouksid viral saat pilpres dulu ndan bisa jadi karena kerja sama terjadi gubernur cornelis wakilnya,0,0,0,0,0,0,0,0,0,0,0,0
user anak jauh hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
user sbbsnsn,0,0,0,0,0,0,0,0,0,0,0,0
user istirahat presiden momentum sudah berlalu saya pernah jadi saksi telinga mata awal rapat pembentukan pacitan tahun,0,0,0,0,0,0,0,0,0,0,0,0
pada house select committee assassinations hsca menemukan investigasi yang dilakukan warren commission hsca juga menyimpulkan empat tembakan yang dilakukan kemungkinan terdapat konspirasi dalamnya,0,0,0,0,0,0,0,0,0,0,0,0
user terasa genap tahun mendatang april akan digelar hajatan pilpres acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
user,0,1,0,0,0,0,0,0,0,0,0,0
user user ngakunya pintar beragama emangnya agama mana memperbolehkan menista menghujat lain jgnkan orang maaf sejak lahir sekalipun kita hargain sebagai sesama ciptaan tuhan ingat juga pintar sangat licik,0,1,0,0,0,0,0,0,0,0,0,0
pendaftaran capres untuk pilpres saja belum dibuka sampai agustus yang normatif begini politikus pdip masih belum paham gantipresiden,1,0,0,1,0,0,0,0,1,0,1,0
udah pemerintah bobrok koruptor bisa pimpinan sidang paya,1,1,1,0,0,1,0,0,0,1,0,0
dari dulu kenapa bapak kalau mantan mantan selalu mgerasa sedih ampe kepikiran gabisa tidur lohh ngerasa jadi anak brengsek laki,0,1,0,0,0,0,0,0,0,0,0,0
cina perusak bangsa usir stuju,1,0,0,1,0,1,0,0,0,0,0,1
gantipresiden scra konstitusional setiap rakyat woiii gini kalo planga plongo tapi kelakuan otoriter,1,1,1,0,0,0,0,0,1,1,0,0
mari kita wujudkan pilkada kota bengkulu aman damai cokiadem heru,0,0,0,0,0,0,0,0,0,0,0,0
tanya serius presiden jokowi islam nusantaraknp kristen bahkan kong huchu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
korsa pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,0,0,0,0,0,0,0,0,0,0,0,0
cowo yang jago drasex mana sini sama adek luvian,0,1,0,0,0,0,0,0,0,0,0,0
user kroasia kapir tauuungapain blajar kapirudh lupa kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
user user bukan mentri suharto,1,1,1,0,0,0,0,1,0,1,0,0
bukan yang dulu yang masih cemen semua orang pasti akan berubah perlahan entah baik buruk,0,0,0,0,0,0,0,0,0,0,0,0
pada perang salib dulu kerajaan afrika terbagi yakni babilonia pemeluk kristen tobaco pemeluk islam,0,0,0,0,0,0,0,0,0,0,0,0
kejar setorang memang cukup bangsad mana rupiah turun xfxfxxa,1,1,1,0,0,0,0,0,1,1,0,0
moga tindak lanjutnya pelaporan terhadap penista agama armando akan dilakukan langsung oleh ketua umum shobri lubis bareskrim mabes polri gambir jakarta pusat pada selasa pukul perhaps user,1,0,1,0,1,0,0,0,0,1,0,0
user user user user user user user user bangke hajar,1,1,1,0,0,0,0,0,1,0,0,1
user user user nonta mati kebanyakan minum,1,0,0,1,0,0,0,0,1,0,1,0
ahok mrka trus waswas hdpnya user user user user user user user,1,0,1,0,0,0,0,0,1,1,0,0
baru teng ekses akibat tersandera hutang china gantipresiden presidenbaru,1,0,1,0,0,0,0,0,1,1,0,0
pride yunani juga dengan sebutan hubrisvanity harga diri yang tinggi dapat merubah manusia sombong kesombongan membuat manusia dimata tuhandan dapat membuat manusia mencintai dirinya sendiri,0,0,0,0,0,0,0,0,0,0,0,0
bertanya tujuan pada hatinlogikaku menjawab ntapi hati tenangnaku bertanya pada logika nhatiku sedih cari jawaban dalam wasiat beliau tinggalkan ndan mulai menjadi terasing mata manusia ntak duhai diri,0,0,0,0,0,0,0,0,0,0,0,0
user hanya kurang bertaji initapi juga komitmen pemberantasan korupsi,1,0,0,1,0,0,0,0,1,0,1,0
user admin partai tololnpartai untuk orang,1,1,0,1,0,0,0,0,1,0,1,0
user ting ting goyang dekat raffi ahmad nagita slavina norak,0,1,0,0,0,0,0,0,0,0,0,0
video dibuat oleh malaysia tapi mengutip pernyataan saya user,0,0,0,0,0,0,0,0,0,0,0,0
jangan buruburu tolak wacana pilkada lewat dprd,0,0,0,0,0,0,0,0,0,0,0,0
random pagi bapak nyamperin meja kerja trus nanya pake bedak biar mukanya bersih istri saya butek soalnyaningin jawab pake wudhu tapi kristen,0,0,0,0,0,0,0,0,0,0,0,0
user user,0,1,0,0,0,0,0,0,0,0,0,0
pengen disodok gede,0,1,0,0,0,0,0,0,0,0,0,0
jokowi mundur user tutup,1,0,1,0,0,0,0,0,1,1,0,0
user ngomong itumulut seperti bancibeli kaca dulu lihat dirimu broo,1,1,1,0,0,0,0,1,0,1,0,0
user amin rasisnada amat daninada ratna paiiitnada ontanada lobang anusnjdi jngan takut wonkehabisan obat penenang,1,1,1,0,0,0,0,0,1,1,0,0
user tunggu komando imam cabul user taik beer xfxfxdxbannape bawa ulamandasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
kabinet berantakan npemecah belah persatuan hanya,1,0,0,1,0,0,0,0,1,0,1,0
ngaku lebih pinter orang politik ngaca dulu woyy tampang kxcxak orang user ckakakakak,1,1,1,0,0,0,1,0,0,1,0,0
dengan menekan perusahaan tambang target proyek yang impossible lalu dilelang murah pada cina contoh kasus pdip menang dasar,1,1,0,1,0,0,0,0,1,0,1,0
user user caya sama mulut bwang,1,1,1,0,0,0,0,0,1,1,0,0
jika prabowo menyatu melawan mega jokowi maka peristiwa akan terulang dimana pdip incumbent dikalahkan mutlak oleh jkwmegasby melawan prabowo pilpres selesai sudah poros pilpres salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0
user user jangan kayak kaleng kamu gatot sering buat gaduh gentleman mundur siap bersaing pemilihan presidens melawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
bebal,0,0,0,0,0,0,0,0,0,0,0,0
yang terakhir karena indonesia negara dengan populasi muslim terbesar dunia yang mana islam saat merupakan musuh barat karena dapat menghambat agenda kepentingan,0,0,0,0,0,0,0,0,0,0,0,0
user user umuh persibnpersib,1,1,0,1,0,0,0,0,1,0,1,0
user user buat film muslim pilih ahok mati nggak sholatin dijamin laris,1,0,1,0,0,0,0,0,1,1,0,0
tapi banu banu yahudi tentu beda banu banu kristen syriac salah satu perbedaan banu yahudi tetep pake eloah elohim yahwe sedangkan syriac sudah pake alah allah,0,0,0,0,0,0,0,0,0,0,0,0
user kenapa muka merah cendol bukan cuaca skrg panas,0,1,0,0,0,0,0,0,0,0,0,0
pemberitaan saracen diframing katak seakan prabowo aniessandi seberulnya media menumpahkan sakit hati katak,1,1,0,1,0,0,0,0,1,0,1,0
giat brigpol sihombing hari rabu april melaks sambang desa tatap muka sekaligus monitoring kamtibmas menuju pilkada desa lobusiregar tepatnya dirumah rudi panjaitan helman siahaan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
ngeliat perempuan gini status udah nemplok lakilaki sana sini haduhnnagita slavina blakblakan sebut ting ting xexx viva,0,1,0,0,0,0,0,0,0,0,0,0
user lupa juga kang umat katolik minorutas lainnya diperhatika gubernur untuk semua golongan bukan satu golongan,0,0,0,0,0,0,0,0,0,0,0,0
user user user user bukan udeh dibilangin dari maren masih ngeyelnsitu maksa jadi,1,1,1,0,0,0,0,0,1,1,0,0
user kelemahan gerindra orang iniprabowo turun karena fadlizon durno,1,1,1,0,0,0,0,0,1,1,0,0
selamat hari kartini setiap kali selalu dirayakan lalu maknanya kali,0,0,0,0,0,0,0,0,0,0,0,0
foto memang memiliki banyak arti sush diartikansma seperti kamu susah diartikanmau putus atau lanjut,0,0,0,0,0,0,0,0,0,0,0,0
user wakakakaka sudah mengalaminya tetiba muncul grub hadi mbahku seketika kenal beberapa orang saja,0,0,0,0,0,0,0,0,0,0,0,0
abam pres badar nuqaba pling boekkk hebat bidang agama tkut tgur member sndiri selalu lawak hambar pling ingt smpai skrg lawak klau gerak skrg gerakkn badan chubby,0,0,0,0,0,0,0,0,0,0,0,0
seorang anak pekan telah mengilhamkan dasar ekonomi baru menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allahyarham abdul razak user hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
user user hahaha sialaaan user ternyata laper presiden juga disikat sama,0,0,0,0,0,0,0,0,0,0,0,0
user user user menasehati kali supaya ugalan tapi negeri keburu ancornah skrg saja ekonomi morat marit kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
user aelaah kebeler ngapa dikasianin makin sayang saya paknsetelah kasus sosmed baru sadar bbrapa seitansai kemarinntar ceritain duuuhhh,0,1,0,0,0,0,0,0,0,0,0,0
user cacad,0,0,0,0,0,0,0,0,0,0,0,0
user tahun rakyat makan aspal beton adalah solusi jitu mengurangi kemiskinan keahlian hanya tukang tipu gitu nggak ketulungan plonga plongo mengakibatkan optimisme berlebihan gantipresiden,1,1,0,1,0,0,0,0,1,0,1,0
user pernah sempat baca harun yahya membelot kubu yahudi freemasonry nyakdg suka percaya,0,0,0,0,0,0,0,0,0,0,0,0
kita maju bersama ulama kita bergerak bersama semua tokoh agama untuk indonesia nderekgusmus,0,0,0,0,0,0,0,0,0,0,0,0
user user user user user user user user user user user user user user user user user user user user user,0,0,0,0,0,0,0,0,0,0,0,0
mukidikepedean pertanyaan mudah dijawab keras tapi saya minta dijawab keras siapa nama saya,0,0,0,0,0,0,0,0,0,0,0,0
user kemarin hujat sekarang mengharap dasar para kamprey,1,1,0,1,0,0,0,0,1,0,1,0
user penjelasan bukan fitnah silahkan dibantah user apollinaris darmawan sebut alquran kitab,1,1,0,1,1,0,0,0,0,0,1,0
koloe dbilang saudra pasti ogah hdupmu gini amat hati comberan user,1,1,1,0,0,0,0,0,1,1,0,0
body lufra scrub dasar lidah mlembabkn kulit bcahaya info,0,0,0,0,0,0,0,0,0,0,0,0
user punya masa lalu blum bermasa lalu,0,0,0,0,0,0,0,0,0,0,0,0
user user jangan penganut bumi datar juga teori bumi bulat dari orang notabane musuh mereka,0,0,0,0,0,0,0,0,0,0,0,0
becak warga binjai hendak disita karena gunakan tenda bertuliskan gantipresiden meradang bukti pemerintah panik takut,1,0,0,1,0,0,0,0,1,0,1,0
lebih baik jokowi mundur,1,0,1,0,0,0,0,0,1,1,0,0
munas alim ulama semarang menghasilkan lima rekomendasi syarat bagi calon wakil presiden yang akan mendampingi jokowi mendatang romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0
user luar biasa pencerahan saya merasa gagal sebagai anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0
user user user user kafan berasal dari budaya yahudi kenapa umat islam mengklaim,0,0,0,0,0,0,0,0,0,0,0,0
oleh skrg atas kendali negara cina patron tunggal anti islam jokowi,1,0,0,1,1,1,0,0,0,0,1,0
user user tanda pilkada pilpres,0,0,0,0,0,0,0,0,0,0,0,0
misi membangun masyarakat yang gotong royong toleran harmoni selaras nilai budaya jawa barat yang luhur nojabarasyik asyikmnang,0,0,0,0,0,0,0,0,0,0,0,0
ketabahan pasangan taufiq puan nurliyana yang wajar dicontohi kita beri sumbangan untuk meringankan beban pasangan come twitter your things bank islam nurliyana abdul raziff,0,0,0,0,0,0,0,0,0,0,0,0
user apaansi baru doang belagunya udah selangit inget karma ntar bbrp taun lagi kalo idol flop ketawa paling keras,1,1,1,0,0,0,0,0,1,1,0,0
user user,0,1,0,0,0,0,0,0,0,0,0,0
teranginegeri dengan budaya pada visit purwokerto mumpung even rakyat purwokerto,0,0,0,0,0,0,0,0,0,0,0,0
presiden punya dana taktis bisa menggunakan untuk kepentingan rakyatnya luar program pemerintah yang sudah soal program banyak sekali pembangunan infrastruktur sertifikat tanah perhutanan sosial harga padat karya,0,0,0,0,0,0,0,0,0,0,0,0
user aamiin allah ntimnya kinan sampai pelatihan ular karena dapat rawarawa dapatnya sungai gede musuhnya wkwkw,0,0,0,0,0,0,0,0,0,0,0,0
user user maju kamu ngatain mama bolot,1,1,1,0,0,0,0,0,1,1,0,0
grombolan kadal jidat gosongmmg bgtu sukanya ribut tapi grombolanya salah pura budekdasar grombolan cingkrang,1,1,0,1,0,0,1,0,0,0,1,0
user user user segitu gentarnya takut terhadap kafirxfxfxx,0,0,0,0,0,0,0,0,0,0,0,0
user user betul padahal saracen juga siapa sehingga akun yang kritis dianggap saracen aneh jokowi,1,0,1,0,0,0,0,0,1,1,0,0
user siapa bukan kesel sendiri,1,1,1,0,0,0,0,0,1,1,0,0
user user kristen selalu buat ulah,1,1,0,1,1,0,0,0,0,0,1,0
user dong baunya keciri buluq,1,1,1,0,0,1,0,0,0,1,0,0
user kayak memegang bukan,0,0,0,0,0,0,0,0,0,0,0,0
guru dharma wanita persatuan desa plumbon porong deklarasi anti hoax ujaran kebencian issu sarah mendukung pilkada damai,0,0,0,0,0,0,0,0,0,0,0,0
user serem maennya begituan xfxfxxxfxfxxc,0,1,0,0,0,0,0,0,0,0,0,0
user kayaknya bisa atau cuma bank tertentu bilang jual uang asingtukar rupiah,0,0,0,0,0,0,0,0,0,0,0,0
user user user user yaman ninnsetahun lagi deportasi,1,1,1,0,0,0,0,0,1,0,0,1
hatihati berita pilkada yang berbau hoax madiun madiuntoday thmadiun kunjungi juga,0,0,0,0,0,0,0,0,0,0,0,0
user anak user,1,1,1,0,0,0,0,0,1,1,0,0
user ketauan hoax fahri mangkanye ambil berite tuyg update jangan dari tong diambil terus taunya berit udah,1,0,1,0,0,0,0,0,1,1,0,0
mantaaap dekat sama banser bang user,0,0,0,0,0,0,0,0,0,0,0,0
ternyata lebah suka bunga tapi makan penasaran madu kaya gimana xfxfxax,0,0,0,0,0,0,0,0,0,0,0,0
user user pantas indonesia mundur dalam segala bentuk,1,0,1,0,0,0,0,0,1,1,0,0
user user user user naahh dongo bilang hekell hahaha,0,1,0,0,0,0,0,0,0,0,0,0
user user user user hahahaha blunder ngasih pusat dengan alasan kalau rakyat aceh kali cobak datangi pemerintah bilang suruh buat hukum islam kaffah aceh klau,1,1,1,0,0,0,0,0,1,1,0,0
bangsad nyelem ampe bawah balik atas,0,1,0,0,0,0,0,0,0,0,0,0
saya bisa urusan penistaan atau bukan saya hanya berbicara pemahaman saya fiksi kitab suci,0,0,0,0,0,0,0,0,0,0,0,0
user user user user kacung temen dungunya sampe tulang sumjd buang energi debat merekaxfxfxx,1,1,0,1,0,0,0,0,1,0,1,0
